SIT,CNPJ_CIA,DENOM_SOCIAL,MUN,CEP,CD_CVM,DT_REG,DT_INI_SIT,SETOR_ATIV,CONTROLE_ACIONARIO,TP_ENDER,UF
ATIVO,01.548.981/0001-79,INVESTIMENTOS BEMGE S.A.,SÃO PAULO,4.3449e+06,6041,1977-07-20 00:00:00,1977-07-20 00:00:00,Bancos,PRIVADO,SEDE,SP
ATIVO,03.758.318/0001-24,INVESTIMENTOS E PARTICIP EM INFRA SA INVEPAR,GUARULHOS,7.1901e+06,18775,2000-09-29 00:00:00,2000-09-29 00:00:00,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO,SEDE,SP
ATIVO,03.758.318/0001-24,INVESTIMENTOS E PARTICIP EM INFRA SA INVEPAR,GUARULHOS,7.1901e+06,18775,2000-09-29 00:00:00,2000-09-29 00:00:00,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO,SEDE,SP
CANCELADA,02.869.385/0001-53,INVESTMOBILE SA,CURITIBA,8.02502e+07,18120,1998-12-21 00:00:00,2002-09-30 00:00:00,Emp. Adm. Participações,PRIVADO,SEDE,PR
CANCELADA,02.812.190/0001-77,INVESTVALE SERVIÇOS S.A.,RIO DE JANEIRO,2.00059e+07,18384,1999-07-20 00:00:00,2007-05-09 00:00:00,Comunicação e Informática,PRIVADO,SEDE,RJ
CANCELADA,00.021.096/0001-74,INVISTA NYLON SUL AMERICANA S/A,AMERICANA,1.34703e+07,18791,2000-10-25 00:00:00,2003-11-05 00:00:00,Têxtil e Vestuário,PRIVADO,SEDE,SP
CANCELADA,10.242.478/0001-81,INVITEL LEGACY SA,RIO DE JANEIRO,2.00409e+07,21687,2008-11-11 00:00:00,2020-07-01 00:00:00,Emp. Adm. Part. - Telecomunicações,PRIVADO HOLDING,SEDE,RJ
CANCELADA,02.465.782/0001-60,INVITEL SA,RIO DE JANEIRO,2.24302e+07,17396,1998-06-17 00:00:00,2009-07-31 00:00:00,Emp. Adm. Part. - Telecomunicações,PRIVADO HOLDING,SEDE,RJ
ATIVO,61.156.113/0001-75,IOCHPE MAXION SA,CRUZEIRO,1.27309e+07,11932,1984-07-17 00:00:00,1984-07-17 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SP
ATIVO,61.156.113/0001-75,IOCHPE MAXION SA,CRUZEIRO,1.27309e+07,11932,1984-07-17 00:00:00,1984-07-17 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SP
ATIVO,61.156.113/0001-75,IOCHPE MAXION SA,CRUZEIRO,1.27309e+07,11932,1984-07-17 00:00:00,1984-07-17 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SP
CANCELADA,88.939.236/0001-39,IPIRANGA PETROQUIMICA SA,TRIUNFO,9.5853e+07,12300,1985-03-14 00:00:00,2007-07-18 00:00:00,Petroquímicos e Borracha,PRIVADO,SEDE,RS
CANCELADA,11.029.196/0001-63,IPLAC DO BR SA PLASTICOS INDL,FORTALEZA,6.031e+07,7641,1984-11-23 00:00:00,2004-06-24 00:00:00,Petroquímicos e Borracha,PRIVADO HOLDING,SEDE,CE
CANCELADA,92.387.018/0001-06,IRANI AGROFLORESTAL SA,PORTO ALEGRE,9.001e+07,13463,1989-04-27 00:00:00,1995-05-04 00:00:00,Reflorestamento,PRIVADO,SEDE,RS
ATIVO,92.791.243/0001-03,IRANI PAPEL E EMBALAGEM S.A.,PORTO ALEGRE,9.04809e+07,2429,1977-07-20 00:00:00,1977-07-20 00:00:00,Embalagens,PRIVADO,SEDE,RS
ATIVO,33.376.989/0001-91,IRB - BRASIL RESSEGUROS S.A.,RIO DE JANEIRO,2.00312e+07,24180,2017-07-27 00:00:00,2017-07-27 00:00:00,Seguradoras e Corretoras,PRIVADO,SEDE,RJ
ATIVO,33.376.989/0001-91,IRB - BRASIL RESSEGUROS S.A.,RIO DE JANEIRO,2.00312e+07,24180,2017-07-27 00:00:00,2017-07-27 00:00:00,Seguradoras e Corretoras,PRIVADO,SEDE,RJ
CANCELADA,01.545.832/0001-56,IRIRI PARTICIPACOES SA,SÃO PAULO,4.5389e+06,16110,1997-02-21 00:00:00,2001-09-04 00:00:00,Emp. Adm. Participações,PRIVADO HOLDING,SEDE,SP
CANCELADA,52.769.783/0001-76,IRMAOS DAVOLI SA IMP E COM,MOGI MIRIM,1.38e+07,7650,1977-07-20 00:00:00,1988-01-12 00:00:00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SEDE,SP
