SIT,DENOM_SOCIAL,MUN,CNPJ_CIA,SETOR_ATIV,CONTROLE_ACIONARIO,UF
CANCELADA,CIA TERRAS BONSUCESSO,SÃO PAULO,01.447.243/0001-35,Emp. Adm. Participações,PRIVADO,SP
CANCELADA,LG INFORMÁTICA S.A.,APARECIDA DE GOIÂNIA,01.468.594/0001-22,Comunicação e Informática,PRIVADO,GO
CANCELADA,GC ADM DE RECEBIVEIS SA,RIO DE JANEIRO,01.472.666/0001-05,Serviços Diversos,PRIVADO,RJ
CANCELADA,FLYNET SA,RIO DE JANEIRO,01.492.670/0001-35,Emp. Adm. Part. - Comunicação e Informática,PRIVADO,RJ
CANCELADA,TORCEDOR SA,RIO DE JANEIRO,01.529.587/0001-93,Emp. Adm. Part. - Brinquedos e Lazer,PRIVADO,RJ
CANCELADA,TRANSUL SA,RIO DE JANEIRO,01.529.588/0001-38,Emp. Adm. Participações,ESTRANGEIRO,RJ
CANCELADA,RAIL SUL SA,SÃO PAULO,01.529.589/0001-82,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SP
CANCELADA,CANADENSE SA INDUSTRIA E PNEUS AGRICOLA,GOIÂNIA,01.533.298/0001-68,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,GO
CANCELADA,ROSSI SECURITIES SA,SÃO PAULO,01.535.646/0001-36,Seguradoras e Corretoras,PRIVADO,SP
CANCELADA,CIA THERMAS RIO QUENTE,RIO QUENTE,01.540.533/0001-29,Hospedagem e Turismo,PRIVADO,GO
CANCELADA,BANCO BEG S.A.,GOIÂNIA,01.540.541/0001-75,Bancos,PRIVADO,GO
CANCELADA,EQUATORIAL GOIAS DISTRIBUIDORA DE ENERGIA S.A.,GOIÂNIA,01.543.032/0001-04,Energia Elétrica,ESTATAL,GO
CANCELADA,ARAGUAIA SA MIN RACOES FERTIL,BRASÍLIA,01.543.362/0001-91,Extração Mineral,PRIVADO,DF
ATIVO,GAFISA SA,SÃO PAULO,01.545.826/0001-07,"Construção Civil, Mat. Constr. e Decoração",ESTRANGEIRO,SP
CANCELADA,SE SA COMERCIO E IMPORTACAO,SÃO PAULO,01.545.828/0001-98,Emp. Adm. Participações,PRIVADO HOLDING,SP
CANCELADA,ITINGA PARTICIPACOES SA,SÃO PAULO,01.545.830/0001-67,Emp. Adm. Participações,PRIVADO HOLDING,SP
CANCELADA,IRIRI PARTICIPACOES SA,SÃO PAULO,01.545.832/0001-56,Emp. Adm. Participações,PRIVADO HOLDING,SP
