SIT,DENOM_SOCIAL,MUN,CNPJ_CIA,SETOR_ATIV,CONTROLE_ACIONARIO,UF
CANCELADA,RHODIA SA,SÃO PAULO,57.507.626/0001-06,Têxtil e Vestuário,ESTRANGEIRO,SP
CANCELADA,ALBATROZ SA,SÃO PAULO,57.912.396/0001-60,Emp. Adm. Participações,PRIVADO,SP
CANCELADA,MAYUTA SA,SÃO PAULO,57.912.412/0001-15,Emp. Adm. Participações,PRIVADO,SP
ATIVO,EPR IGUAÇU S.A.,CASCAVEL,58.056.046/0001-02,Serviços Transporte e Logística,PRIVADO,PR
ATIVO,IGUÁ SERGIPE S.A.,ARACAJU,58.070.452/0001-20,"Emp. Adm. Part. - Saneamento, Serv. Água e Gás",PRIVADO HOLDING,SE
ATIVO,BRADSAÚDE S.A.,BARUERI,58.119.199/0001-51,Serviços Médicos,PRIVADO,SP
CANCELADA,CIA BANDEIRANTES ARMS GERAIS,SÃO PAULO,58.128.174/0001-14,Serviços Transporte e Logística,PRIVADO,SP
CANCELADA,FINANCIADORA BCN SA CFI,BARUERI,58.128.927/0001-91,Bancos,PRIVADO,SP
CANCELADA,CIA PRODUTORES ARMS GERAIS,SÃO PAULO,58.143.967/0001-02,Serviços Transporte e Logística,PRIVADO,SP
CANCELADA,BANCO SAFRA S/A,SÃO PAULO,58.160.789/0001-28,Bancos,PRIVADO,SP
CANCELADA,RACINVEST INVS IMOBILIARIOS SA,SÃO PAULO,58.371.261/0001-06,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
ATIVO,BLAU FARMACÊUTICA S.A.,COTIA,58.430.828/0001-60,Farmacêutico e Higiene,PRIVADO,SP
CANCELADA,GOLDFARB INCORPORAÇÕES E CONSTRUÇÕES S/A,SÃO PAULO,58.507.286/0001-86,"Construção Civil, Mat. Constr. e Decoração",PRIVADO HOLDING,SP
CANCELADA,C. P. E. PENINSULA DO TUCURUÇUTUBA,SÃO PAULO,58.798.612/0001-51,Emp. Adm. Part. - Hospedagem e Turismo,PRIVADO,SP
CANCELADA,BROOKFIELD SÃO PAULO EMPREENDIMENTOS IMOBILIÁRIOS S.A.,SÃO PAULO,58.877.812/0001-08,"Emp. Adm. Part. - Const. Civil, Mat. Const. e Decoração",PRIVADO,SP
CANCELADA,LANDIS GYR INEPAR,CURITIBA,58.900.754/0001-88,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,PR
CANCELADA,GURGEL MOTORES SA,SÃO PAULO,58.962.275/0001-96,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,AUTOMETAL S/A,DIADEMA,59.104.513/0001-95,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,TRANSAUTO TRANSP ESPECS AUT SA,SÃO BERNARDO DO CAMPO,59.105.262/0001-63,Serviços Transporte e Logística,PRIVADO,SP
ATIVO,WHIRLPOOL S.A,SÃO PAULO,59.105.999/0001-86,"Máquinas, Equipamentos, Veículos e Peças",ESTRANGEIRO,SP
CANCELADA,CONFORJA SA CONEXOES DE ACO,DIADEMA,59.106.484/0001-09,Metalurgia e Siderurgia,PRIVADO,SP
ATIVO,TUPI ENERGIAS RENOVÁVEIS S.A.,SÃO PAULO,59.115.685/0001-64,Emp. Adm. Part. - Energia Elétrica,PRIVADO,SP
CANCELADA,DACUNHA SA,SÃO BERNARDO DO CAMPO,59.172.676/0001-05,Serviços Transporte e Logística,PRIVADO,SP
CANCELADA,PIRELLI PNEUS SA,SANTO ANDRÉ,59.179.838/0001-37,Petroquímicos e Borracha,ESTRANGEIRO,SP
ATIVO,CONCESSIONÁRIA DE RODOVIAS PRVIAS S.A.,LONDRINA,59.196.897/0001-13,Emp. Adm. Part. - Serviços Transporte e Logística,PRIVADO,PR
CANCELADA,GENERAL MOTORS SA,SÃO CAETANO DO SUL,59.275.792/0001-50,"Máquinas, Equipamentos, Veículos e Peças",ESTRANGEIRO,SP
CANCELADA,BTG PACTUAL SERVIÇOS FINANCEIROS S/A DTVM,RIO DE JANEIRO,59.281.253/0001-23,Arrendamento Mercantil,PRIVADO,RJ
CANCELADA,BANCO PAN SA,SÃO PAULO,59.285.411/0001-13,Bancos,PRIVADO,SP
CANCELADA,SPSCS INDUSTRIAL SA,SÃO PAULO,59.290.239/0001-96,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,DEDIPAR SA PARTICIPACOES,PIRACICABA,59.359.539/0001-84,Emp. Adm. Participações,PRIVADO,SP
CANCELADA,MASSA FALIDA DA PROCID PARTICIPAÇÕES E NEGÓCIOS SA,SÃO PAULO,59.386.987/0001-77,Emp. Adm. Part. - Intermediação Financeira,PRIVADO HOLDING,SP
ATIVO,TRACK & FIELD CO S.A,SÃO PAULO,59.418.806/0001-47,Têxtil e Vestuário,PRIVADO,SP
ATIVO,FISIA COMÉRCIO DE PRODUTOS ESPORTIVOS S.A.,SÃO PAULO,59.546.515/0001-34,Comércio (Atacado e Varejo),PRIVADO,SP
ATIVO,ORANJEBTC S.A. - EDUCAÇÃO E INVESTIMENTO,SÃO PAULO,59.693.110/0001-29,Educação,PRIVADO,SP
ATIVO,GRUPO MULTILASER S.A.,SÃO PAULO,59.717.553/0001-02,Comunicação e Informática,PRIVADO,SP
ATIVO,POLPAR S.A.,SÃO PAULO,59.789.545/0001-71,Emp. Adm. Part. - Sem Setor Principal,PRIVADO,SP
ATIVO,RODOBENS S.A.,SÃO JOSÉ DO RIO PRETO,59.981.829/0001-65,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO HOLDING,SP
CANCELADA,EMBRAER EMP BRAS AERON SA,SÃO JOSÉ DOS CAMPOS,60.208.493/0001-81,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,POTENZA LEASING ARREND MERC SA,BARUERI,60.333.085/0001-51,Arrendamento Mercantil,PRIVADO,SP
CANCELADA,NOROESTE SEGURADORA SA,SÃO PAULO,60.394.301/0001-79,Seguradoras e Corretoras,PRIVADO,SP
CANCELADA,DIXIE TOGA SA,SÃO PAULO,60.394.723/0001-44,Embalagens,PRIVADO,SP
CANCELADA,COMIND BANCO INVESTIMENTO SA,SÃO PAULO,60.394.939/0001-00,Bancos,PRIVADO,SP
CANCELADA,JARAGUA SA IND MECANICAS,SÃO PAULO,60.395.126/0001-34,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,CONST CIVIL INDL SA,SÃO PAULO,60.395.167/0001-20,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,METAL LEVE ELETR E AUTOM SA,SÃO PAULO,60.395.209/0001-23,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO HOLDING,SP
ATIVO,PARANAPANEMA S.A. - EM RECUPERAÇÃO JUDICIAL,DIAS D'ÁVILA,60.398.369/0004-79,Metalurgia e Siderurgia,PRIVADO,BA
CANCELADA,FERTILIZANTES SERRANA SA,SÃO PAULO,60.398.989/0001-65,Petroquímicos e Borracha,PRIVADO,SP
CANCELADA,MANASA MADEIREIRA NACIONAL SA,SÃO PAULO,60.400.009/0001-11,Reflorestamento,PRIVADO,SP
CANCELADA,UNIBANCO BANCO INV BRASIL SA,SÃO PAULO,60.400.512/0001-77,Bancos,PRIVADO,SP
CANCELADA,CBH CIA BRAS HABITACAO,SÃO PAULO,60.402.153/0001-97,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,GERAL DE CONCRETO S/A,SÃO PAULO,60.405.446/0001-28,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,CIA SEGUROS AMER SUL YASUDA,SÃO PAULO,60.405.925/0001-44,Seguradoras e Corretoras,ESTRANGEIRO,SP
CANCELADA,IND PAPEL PAPELAO S.ROBERTO SA,SÃO PAULO,60.432.648/0001-69,Embalagens,PRIVADO,SP
CANCELADA,CIA LECO DE PRODS ALIMENTICIOS,SÃO PAULO,60.434.487/0001-42,Alimentos,PRIVADO,SP
CANCELADA,DOW QUIMICA SA,SÃO PAULO,60.435.351/0001-57,Petroquímicos e Borracha,ESTRANGEIRO,SP
ATIVO,LIGHT SERVIÇOS DE ELETRICIDADE SA,RIO DE JANEIRO,60.444.437/0001-46,Energia Elétrica,PRIVADO HOLDING,RJ
ATIVO,MAHLE METAL LEVE S.A.,MOGI GUAÇU,60.476.884/0001-87,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,UCAR CARBON SA,SÃO PAULO,60.479.813/0001-38,Emp. Adm. Participações,ESTRANGEIRO HOLDING,SP
CANCELADA,IKPC INDS KLABIN PAPEL CEL SA,SÃO PAULO,60.484.797/0001-71,Papel e Celulose,PRIVADO,SP
CANCELADA,FINANCIADORA BRADESCO SA CFI,SÃO PAULO,60.495.108/0001-24,Bancos,PRIVADO,SP
CANCELADA,SIFCO SA,JUNDIAÍ,60.499.605/0001-09,Metalurgia e Siderurgia,PRIVADO,SP
ATIVO,SARAIVA LIVREIROS S.A. - FALIDA,SÃO PAULO,60.500.139/0001-26,Comércio (Atacado e Varejo),PRIVADO,SP
CANCELADA,ESCRITORIO CONS ENG ECEL SA,SÃO PAULO,60.501.533/0001-89,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,MONTREAL EMPR COM E IND SA,RIO DE JANEIRO,60.501.780/0001-85,"Máquinas, Equipamentos, Veículos e Peças",ESTRANGEIRO,RJ
CANCELADA,ANDERSON CLAYTON SA IND E COM,SÃO PAULO,60.503.232/0001-94,Alimentos,ESTRANGEIRO,SP
CANCELADA,COMPANHIA BRASILEIRA DE BEBIDAS ( Atual demominação  social da Cia Antarctica Paulista IBBC),SÃO PAULO,60.522.000/0001-83,Bebidas e Fumo,PRIVADO,SP
CANCELADA,SAMCIL SA SERV ASSIS MED AO CI,SÃO PAULO,60.531.548/0001-90,Serviços Diversos,PRIVADO,SP
ATIVO,"ALLPARK EMPREENDIMENTOS, PARTICIPAÇÕES E SERVIÇOS S.A.",SÃO PAULO,60.537.263/0001-66,Serviços Transporte e Logística,PRIVADO,SP
ATIVO,IGUATEMI S.A.,SÃO PAULO,60.543.816/0001-93,Emp. Adm. Part. - Comércio (Atacado e Varejo),PRIVADO HOLDING,SP
CANCELADA,ALCAN ALUMINIO DO BRASIL SA,SÃO PAULO,60.561.800/0001-03,Metalurgia e Siderurgia,ESTRANGEIRO,SP
CANCELADA,RURAL LEASING SA ARREND MERC,BELO HORIZONTE,60.582.608/0001-01,Arrendamento Mercantil,PRIVADO,MG
CANCELADA,CEVEKOL SA IND COM PROD QUIM,SÃO PAULO,60.586.948/0001-00,Petroquímicos e Borracha,PRIVADO,SP
CANCELADA,SAVENA SA VEICS NAC COM REPR,SÃO PAULO,60.591.609/0001-04,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,SOBRAL INVICTA SA,SÃO PAULO,60.594.538/0001-01,Outras Atividades Industriais,PRIVADO,SP
CANCELADA,EDITORA ABRIL SA,SÃO PAULO,60.598.059/0001-55,Gráficas e Editoras,PRIVADO,SP
CANCELADA,RAIA SA,SÃO PAULO,60.605.664/0001-06,Emp. Adm. Part. - Farmacêutico e Higiene,PRIVADO,SP
CANCELADA,BETUMARCO SA ENGENHARIA INDUSTRIA COMERCIO,SÃO BERNARDO DO CAMPO,60.627.346/0001-46,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,LARK SA MAQ E EQUIPAMENTOS(Massa Falida Administrada Judicialmente p/Soc.Advogados Mandel Advocacia),SÃO PAULO,60.631.090/0001-40,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,FIBRIA CELULOSE S.A.,SÃO PAULO,60.643.228/0001-21,Papel e Celulose,PRIVADO,SP
CANCELADA,DOMINIUM SA,SÃO PAULO,60.646.502/0001-16,Alimentos,PRIVADO,SP
CANCELADA,COMPANHIA SUZANO DE PAPEL E CELULOSE,SÃO PAULO,60.651.726/0001-16,Papel e Celulose,PRIVADO,SP
ATIVO,SUZANO HOLDING S.A.,SÃO PAULO,60.651.809/0001-05,Emp. Adm. Part. - Papel e Celulose,PRIVADO,SP
CANCELADA,ANSON SA ENG FUND RECUPERACOES,SÃO PAULO,60.661.451/0001-00,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,AÇOS VILLARES SA,SÃO PAULO,60.664.810/0001-74,Metalurgia e Siderurgia,ESTRANGEIRO,SP
ATIVO,UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S.A.,EMBU-GUAÇU,60.665.981/0001-18,Farmacêutico e Higiene,PRIVADO,SP
CANCELADA,KSB BOMBAS HIDRAULICAS SA,VÁRZEA PAULISTA,60.680.873/0001-14,Metalurgia e Siderurgia,ESTRANGEIRO,SP
CANCELADA,SOUTO VIDIGAL SA,SÃO PAULO,60.688.256/0001-65,Emp. Adm. Participações,PRIVADO,SP
CANCELADA,GEB VIDIGAL SA,SÃO PAULO,60.688.736/0001-26,Emp. Adm. Participações,PRIVADO,SP
CANCELADA,BANCO SANTANDER NOROESTE SA,SÃO PAULO,60.700.556/0001-12,Bancos,PRIVADO,SP
CANCELADA,ITAU UNIBANCO S.A.,SÃO PAULO,60.701.190/0001-04,Bancos,PRIVADO,SP
CANCELADA,VIACAO AEREA S PAULO SA VASP,SÃO PAULO,60.703.923/0001-31,Serviços Transporte e Logística,PRIVADO,SP
ATIVO,COMPANHIA  MELHORAMENTOS DE SÃO PAULO,SÃO PAULO,60.730.348/0001-66,Papel e Celulose,PRIVADO,SP
CANCELADA,BS CONTINENTAL SA ULTL DOMEST,SÃO PAULO,60.736.279/0001-06,"Máquinas, Equipamentos, Veículos e Peças",ESTRANGEIRO,SP
ATIVO,BANCO BRADESCO S.A.,OSASCO,60.746.948/0001-12,Bancos,PRIVADO,SP
CANCELADA,BANCO ALFA DE INVESTIMENTO S.A.,SÃO PAULO,60.770.336/0001-65,Bancos,PRIVADO,SP
CANCELADA,AIR LIQUIDE,SÃO PAULO,60.830.296/0001-08,Outras Atividades Industriais,ESTRANGEIRO,SP
CANCELADA,CIA TECNICA DE ENGENHARIA ELETRIC A,SÃO PAULO,60.830.833/0001-01,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,ENIA INDUSTRIAS QUIMICAS SA,SÃO PAULO,60.835.105/0001-92,Petroquímicos e Borracha,PRIVADO,SP
CANCELADA,MECANICA PESADA SA,SÃO PAULO,60.835.410/0001-84,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO HOLDING,SP
CANCELADA,BRASMETAL CIA BRAS METALURGIA,SÃO PAULO,60.837.689/0001-35,Emp. Adm. Participações,PRIVADO,SP
ATIVO,FLEURY SA,SÃO PAULO,60.840.055/0001-31,Serviços Médicos,PRIVADO,SP
CANCELADA,SOPAVE SA SOC PAUL DE VEICULOS,SÃO PAULO,60.840.683/0001-17,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
ATIVO,BARDELLA S.A. INDUSTRIAS MECANICAS - EM RECUPERAÇÃO JUDICIAL,SOROCABA,60.851.615/0001-53,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,SOCIED. PAULIS ARTEF METALS/A,SÃO PAULO,60.852.035/0001-80,Metalurgia e Siderurgia,PRIVADO,SP
CANCELADA,ACOS IPANEMA (VILLARES) SA,SÃO PAULO,60.852.316/0001-33,Metalurgia e Siderurgia,PRIVADO,SP
CANCELADA,SAINT-GOBAIN VIDROS SA,SÃO PAULO,60.853.942/0001-44,Extração Mineral,ESTRANGEIRO,SP
CANCELADA,BRASIMET COM E INDUSTRIA SA,SÃO PAULO,60.856.820/0001-01,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,BONFIGLIOLI COML CONSTRUT SA,SÃO PAULO,60.858.586/0001-51,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,HOECHST BRASIL SA QUIM FARM,SÃO PAULO,60.861.788/0001-52,Petroquímicos e Borracha,ESTRANGEIRO,SP
CANCELADA,CITROBRASIL SA,SÃO PAULO,60.867.843/0001-11,Comércio (Atacado e Varejo),PRIVADO,SP
CANCELADA,SOBLOCO CONSTRUTORA SA,SÃO PAULO,60.869.005/0001-87,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,CIA CIMENTO IPANEMA,SÃO PAULO,60.869.302/0001-22,Extração Mineral,ESTRANGEIRO,SP
CANCELADA,CIMINAS  CIMENTO NAC MINAS SA,SÃO PAULO,60.869.336/0001-17,Extração Mineral,ESTRANGEIRO,SP
CANCELADA,TRANSBRASIL SA LINHAS AEREAS - FALIDA,BRASÍLIA,60.872.173/0001-21,Serviços Transporte e Logística,PRIVADO,DF
CANCELADA,ITAÚ UNIBANCO HOLDING S.A.,SÃO PAULO,60.872.504/0001-23,Bancos,ESTRANGEIRO,SP
CANCELADA,INDS MADEIRIT SA,SÃO PAULO,60.873.874/0001-85,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,SEARLE BRASIL SA,SÃO PAULO,60.874.633/0001-50,Farmacêutico e Higiene,ESTRANGEIRO,SP
CANCELADA,NAKATA SA IND E COMERCIO,DIADEMA,60.875.259/0001-08,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,NESBER COMPANHIA INDUSTRIAL,COTIA,60.881.364/0001-50,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,DUREX INDUSTRIAL SA,SÃO PAULO,60.881.422/0001-45,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,CLIMAX INDUSTRIA E COMERCIO SA,SÃO CARLOS,60.882.610/0001-98,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,CONFAB INDUSTRIAL SA,SÃO CAETANO DO SUL,60.882.628/0001-90,Metalurgia e Siderurgia,ESTRANGEIRO,SP
CANCELADA,FRIGOBRAS CIA BRAS FRIGORIFICO,BARUERI,60.883.212/0001-96,Alimentos,PRIVADO,SP
CANCELADA,CONCRETEX SA,SÃO PAULO,60.883.824/0001-89,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
ATIVO,NORDON INDUSTRIAS METALURGICAS S.A.,SANTO ANDRÉ,60.884.319/0001-59,Metalurgia e Siderurgia,PRIVADO,SP
CANCELADA,BRADESCO TURISMO SA ADM E SERV,OSASCO,60.885.068/0001-27,Hospedagem e Turismo,PRIVADO,SP
CANCELADA,BCO BRADESCO INVESTIMENTO SA,OSASCO,60.885.092/0001-66,Bancos,PRIVADO,SP
CANCELADA,BCO AUXILIAR SA,SÃO PAULO,60.885.100/0001-74,Bancos,PRIVADO,SP
CANCELADA,BANCO SOFISA SA,SÃO PAULO,60.889.128/0001-80,Bancos,PRIVADO,SP
CANCELADA,FNV VEICULOS EQUIPS SA,CRUZEIRO,60.889.193/0001-05,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,LONAFLEX SA,OSASCO,60.889.854/0001-00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,ACOS DO BRASIL SA IND E COM,SANTO ANDRÉ,60.890.688/0001-54,Metalurgia e Siderurgia,PRIVADO,SP
CANCELADA,HOWA S.A. INDUSTRIAS MECANICAS,SÃO PAULO,60.891.751/0001-77,"Máquinas, Equipamentos, Veículos e Peças",ESTRANGEIRO,SP
CANCELADA,SUDESTE SA IND E COMERCIO,SÃO PAULO,60.894.110/0001-76,Comércio (Atacado e Varejo),PRIVADO,SP
CANCELADA,MAQUINAS PIRATININGA SA,SÃO PAULO,60.894.482/0001-00,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
ATIVO,USINAS SID DE MINAS GERAIS S.A.-USIMINAS,BELO HORIZONTE,60.894.730/0001-05,Metalurgia e Siderurgia,PRIVADO,MG
CANCELADA,BANCO BCN S.A.,SÃO PAULO,60.898.723/0001-81,Bancos,PRIVADO,SP
CANCELADA,HINDI CIA BRAS DE HABITACOES,SÃO PAULO,60.904.810/0001-02,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,DIAMETRO EMPREENDIMENTOS SA,SÃO PAULO,60.930.468/0001-07,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
ATIVO,CESP - COMPANHIA ENERGÉTICA DE SÃO PAULO,SÃO PAULO,60.933.603/0001-78,Energia Elétrica,PRIVADO,SP
CANCELADA,BANCO SUDAMERIS BRASIL SA,SÃO PAULO,60.942.638/0001-73,Bancos,PRIVADO,SP
CANCELADA,BORLEM SA EMPREEND INDUSTRIAIS,GUARULHOS,60.943.388/0001-96,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,GOYANA SA I BRAS MATS PLASTS,SÃO PAULO,60.946.035/0001-40,Petroquímicos e Borracha,PRIVADO,SP
CANCELADA,CIA PAULISTA ENERGIA ELETRICA,SÃO PAULO,61.015.582/0001-74,Energia Elétrica,PRIVADO,SP
ATIVO,CONSTRUTORA ADOLPHO LINDENBERG S.A.,SÃO PAULO,61.022.042/0001-18,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,BANCO VOITER S.A.,SÃO PAULO,61.024.352/0001-71,Bancos,PRIVADO,SP
CANCELADA,CIA SIDERURGICA MOGI CRUZES(sucedida pela UNIÂO FEDERAL -CNPJ:37115383000153,BRASÍLIA,61.045.381/0001-10,Metalurgia e Siderurgia,ESTATAL,DF
CANCELADA,LION SA,SÃO PAULO,61.064.689/0001-02,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,BRASILIT SA,SÃO PAULO,61.064.838/0001-33,Extração Mineral,ESTRANGEIRO,SP
CANCELADA,BATES SA,SÃO PAULO,61.064.937/0001-15,Embalagens,PRIVADO,SP
CANCELADA,ARNO SA,SÃO PAULO,61.064.978/0001-01,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
ATIVO,MANGELS INDUSTRIAL S.A.,SÃO BERNARDO DO CAMPO,61.065.298/0001-02,Emp. Adm. Part. - Metalurgia e Siderurgia,PRIVADO,SP
CANCELADA,BANCO MERCANTIL DE SÃO PAULO SA,SÃO PAULO,61.065.421/0001-95,Bancos,PRIVADO,SP
CANCELADA,FIEL SA MOVEIS EQUIPS INDS,SÃO PAULO,61.065.447/0001-33,Outras Atividades Industriais,PRIVADO,SP
CANCELADA,MULTIVIDRO SA,SÃO PAULO,61.066.940/0001-78,Extração Mineral,PRIVADO,SP
CANCELADA,NADIR FIGUEIREDO S.A,SÃO PAULO,61.067.161/0001-97,Comércio (Atacado e Varejo),PRIVADO,SP
ATIVO,ÁGUAS DO PARÁ A SPE S.A,BELÉM,61.067.901/0001-95,"Saneamento, Serv. Água e Gás",PRIVADO,PA
ATIVO,ÁGUAS DO PARÁ B SPE S.A.,BRAGANÇA,61.067.902/0001-30,"Saneamento, Serv. Água e Gás",PRIVADO,PA
ATIVO,ÁGUAS DO PARÁ D SPE S.A.,PARAUAPEBAS,61.067.904/0001-29,"Saneamento, Serv. Água e Gás",PRIVADO,PA
CANCELADA,BRINQUEDOS BANDEIRANTES SA,SÃO PAULO,61.068.557/0001-59,Comércio (Atacado e Varejo),PRIVADO,SP
CANCELADA,SANSUY SA IND DE PLASTICOS,EMBU DAS ARTES,61.070.678/0001-35,Petroquímicos e Borracha,PRIVADO,SP
CANCELADA,UNICARD BANCO MULTIPLO S.A.,BARUERI,61.071.387/0001-61,Bancos,PRIVADO,SP
CANCELADA,BUNGE BRASIL SA,SÃO PAULO,61.074.092/0001-49,Alimentos,ESTRANGEIRO HOLDING,SP
CANCELADA,QUIMBRASIL QUIM INDL BRAS SA,SÃO PAULO,61.074.118/0001-59,Petroquímicos e Borracha,PRIVADO,SP
CANCELADA,CIA INDL MERC ARTEF FERRO,OSASCO,61.074.506/0001-30,Metalurgia e Siderurgia,PRIVADO,SP
CANCELADA,METALURGICA MATARAZZO SA,SÃO PAULO,61.074.837/0001-70,Metalurgia e Siderurgia,PRIVADO,SP
CANCELADA,VALMET DO BRASIL S.A.,SÃO PAULO,61.076.055/0001-70,"Máquinas, Equipamentos, Veículos e Peças",ESTRANGEIRO,SP
CANCELADA,EMPREENDS ADM COM ANNA SA,SÃO PAULO,61.076.998/0001-00,Emp. Adm. Participações,PRIVADO,SP
CANCELADA,PANEX SA INDUSTRIA E COMERCIO,SÃO BERNARDO DO CAMPO,61.077.830/0001-01,Metalurgia e Siderurgia,PRIVADO,SP
ATIVO,ALPARGATAS SA,SÃO PAULO,61.079.117/0001-05,Têxtil e Vestuário,PRIVADO,SP
CANCELADA,CIA BRAS PLASTICOS MONSANTO,SÃO PAULO,61.079.315/0001-60,Petroquímicos e Borracha,ESTRANGEIRO,SP
CANCELADA,TENENGE TEC NAC ENGENHARIA SA,SÃO PAULO,61.079.869/0001-68,Serviços Diversos,PRIVADO,SP
CANCELADA,MERIDIONAL S.A.,SÃO PAULO,61.079.976/0001-96,Metalurgia e Siderurgia,PRIVADO,SP
CANCELADA,LAFER SA INDUSTRIA E COMERCIO,SÃO PAULO,61.080.198/0001-55,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
ATIVO,COBRASMA SA,OSASCO,61.080.313/0001-91,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,INBRAC SA CONDUTORES ELETRICOS,SANTA BRANCA,61.081.972/0001-42,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
ATIVO,MANUFATURA DE  BRINQUEDOS ESTRELA SA,SÃO PAULO,61.082.004/0001-50,Brinquedos e Lazer,PRIVADO,SP
CANCELADA,BUNGE FERTILIZANTES SA,SÃO PAULO,61.082.822/0001-53,Petroquímicos e Borracha,PRIVADO,SP
CANCELADA,ORION SA,SÃO JOSÉ DOS CAMPOS,61.082.863/0001-40,Petroquímicos e Borracha,PRIVADO,SP
CANCELADA,ORNIEX SA,SÃO PAULO,61.084.885/0001-49,Petroquímicos e Borracha,PRIVADO,SP
CANCELADA,BRASMOTOR SA,SÃO PAULO,61.084.984/0001-20,"Máquinas, Equipamentos, Veículos e Peças",ESTRANGEIRO,SP
CANCELADA,IND OLEOS PACAEMBU SA,CASCAVEL,61.085.544/0001-98,Alimentos,PRIVADO,PR
CANCELADA,CELM CIA EQUIP LABS MODERNOS,BARUERI,61.086.823/0001-76,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,BOTUCATU TÊXTIL S. A.,BOTUCATU,61.087.581/0001-35,Têxtil e Vestuário,PRIVADO,SP
CANCELADA,CIA PAULISTA FERTILIZANTES,SÃO PAULO,61.087.912/0001-37,Petroquímicos e Borracha,PRIVADO,SP
CANCELADA,SORANA COML E IMPORTADORA SA,SÃO PAULO,61.088.795/0001-26,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
ATIVO,CAMBUCI SA,SÃO ROQUE,61.088.894/0001-08,Têxtil e Vestuário,PRIVADO,SP
CANCELADA,GEMA SA EQUIPS INDUSTRIAIS,SÃO PAULO,61.090.072/0001-61,"Máquinas, Equipamentos, Veículos e Peças",PRIVADO,SP
CANCELADA,PERSICO PIZZAMIGLIO SA,GUARULHOS,61.091.013/0001-08,Metalurgia e Siderurgia,PRIVADO,SP
ATIVO,ETERNIT S.A.,SÃO PAULO,61.092.037/0001-81,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,PROMON ENGENHARIA SA,SÃO PAULO,61.095.923/0001-69,"Construção Civil, Mat. Constr. e Decoração",PRIVADO,SP
CANCELADA,BCO INV AMERICA SUL SA,SÃO PAULO,61.100.046/0001-77,Bancos,PRIVADO,SP
